restaurant,pictures?
/restaurant/s8aj/tinos-pizzeria,false
/restaurant/s0rn/lilla-capri,false
/restaurant/s5pk/taco-bar-hammarby-sjostad,false
/restaurant/s8ik/henkes-grill,false
/restaurant/s6ap/restaurang-eateast,false
/restaurant/s0ay/italiana,false
/restaurant/s8hy/restaurang-lagan-hantverkargatan,false
/chain/cx2iw/noodle-mama,false
/restaurant/s3gt/kuma-sushi,false
/restaurant/s2re/aroti-indian-restaurant,false
/restaurant/s7wf/ristorante-da-peppe,false
/restaurant/s9jb/il-ponte,false
/restaurant/s4mg/lo-scudetto-restaurang-ab,false
/restaurant/s3wk/tavernina,false
/restaurant/s9ti/thaitastic,false
/restaurant/s4pv/ringens-grill-kebab,false
/restaurant/s8xe/oishii-sushi-thai-gardet,false
/restaurant/s6ph/la-bergerie,false
/chain/co4fb/snack-bar,false
/restaurant/s6ud/lin-sallad-sushi,false
/restaurant/s3mf/lindhagens-pizza-sallad,false
/restaurant/s6es/la-nonna,false
/restaurant/s9on/ljunggren,false
/restaurant/s5rj/panini-kungshallen,false
/restaurant/s4ls/lokal-izakaya,false
/restaurant/s0wi/malmo-k25,false
/restaurant/s5je/kottmastarn,false
/restaurant/s9nn/formosa,false
/restaurant/s9yk/mahalo-odengatan,false
/restaurant/s1vc/katarina-olkafe,false
/restaurant/s9gt/mama-kungsgatan,false
/restaurant/s9ws/kale-crave,false
/restaurant/s7wz/bra-mat,false
/restaurant/s2li/maxigrillen-gotgatan,false
/chain/cc7dm/jureskogs,false
/restaurant/s1lv/mumbai-dreams,false
/restaurant/s2il/pasta-gudfadern,false
/restaurant/s7ou/korea-house,false
/restaurant/s1ix/naked-fish-sushi-bar,false
/restaurant/s5ms/indian-king,false
/chain/cr7eq/cumin-club,false
/chain/cx1aq/indian-garden,false
/restaurant/s8hq/indian-desi-tarka,false
/restaurant/s8bj/il-picchio,false
/restaurant/s7aw/il-conte-sjostaden,false
/restaurant/s1dz/nyko-kitchen,false
/restaurant/s2qy/subway-fleminggatan,false
/chain/cv9zg/subway-uppsala,false
/chain/ce2lq/maharajah,false
/chain/cb8xo/hemmakvall,false
/restaurant/s3sv/vigarda-vasagatan,false
/restaurant/s9oh/burgers,false
/restaurant/s2fp/burgers-beer-odengatan,false
/restaurant/s6mm/crispy-pizza-bistro,false
/restaurant/s2gp/gunnars-pizzeria,false
/restaurant/s6ev/grill-ruby,false
/restaurant/s0ls/sibiriens-soppkok,false
